answer,question,funFact
1985,In what year did the corporate technology giant Microsoft first launch its Windows operating system (Windows 1.0)?,"It ran as a graphical user interface shell on top of the text-based MS-DOS operating system, requiring users to learn how to pilot a mouse cursor."
8.3 million pixels,How many millions of pixels compose the resolution grid of a standard modern 4K Ultra HD television screen?,"A 4K screen features a resolution grid of 3840x2160, providing exactly four times the pixel density of a standard 1080p High Definition TV."
1989,"In what year did Nintendo release the Game Boy in North America, locking in the hand-held gaming crown for a generation?","Despite utilizing a low-tech monochrome green screen without a backlight, it crushed more advanced color rivals because it could run for 30 hours on AA batteries."
145 thousand lines,How many thousands of lines of assembly code did Margaret Hamilton compile to navigate the Apollo 11 moon landing computer?,Hamilton hand-coded the software. Her focus on asynchronous priority scheduling prevented a critical system crash during the lunar module descent.
1998,"In what year did Apple release the original candy-colored iMac G3, saving the company from financial ruin?","Designed by Jony Ive, the translucent, egg-shaped computer stood out by completely ditching the floppy disk drive in favor of a new port standard: USB."
64 KB,How many kilobytes (KB) of data were packed into the baseline system memory of the iconic Commodore 64 desktop computer?,"Released in 1982, the C64 went on to secure a Guinness World Record as the best-selling single computer model in tech history."
2008,In what year did the professional code-repository platform GitHub first launch its services online?,"Built entirely on Linus Torvalds' Git tracking system, it became the global nervous system for open-source engineering software development."
288 pins,How many distinct pins form the hardware interface layout of a standard modern desktop DDR5 RAM stick?,"This high contact density allows DDR5 memory modules to transfer data at blistering speeds, effectively doubling the bandwidth of older DDR4 chips."
2008,"In what year did the luxury electric car maker Tesla deliver its very first production vehicle, the original Roadster?","The car was constructed over an adapted Lotus Elise chassis, utilizing thousands of standard commodity lithium-ion laptop battery cells packed into the floor."
9400,How many standard operational server nodes are linked together inside the world's current fastest supercomputer (Frontier)?,"Powered by advanced enterprise processors, the system handles complex calculations at exascale speeds, consuming enough energy to power a small city."
1997,In what year did IBM's Deep Blue supercomputer make history by defeating world chess champion Garry Kasparov in a match?,"The historic match marked a massive turning point for AI, as Deep Blue calculated up to 200 million individual chess positions every single second to secure the win."
19 pins,How many separate data channels are wired inside the connector tip of a standard modern HDMI 2.0 video cable?,"The 19 pins carry high-definition video, multi-channel surround sound, device control metadata, and low-voltage power channels simultaneously."
2008,"In what year did the tech company Google launch its iconic, minimalist web browser, Google Chrome?",Chrome was introduced to the web with an official comic book illustrated by Scott McCloud to explain its advanced multi-process sandbox architecture.
330 million,How many millions of active repositories are currently hosted live across the GitHub software platform?,"GitHub operates as the absolute largest host of source code on earth, archiving billions of individual commits across every imaginable field of technology."
2008,In what year did the mobile operating system Android make its commercial debut on the HTC Dream smartphone?,"The platform was originally engineered to run smart digital camera interfaces, until Google bought the startup and pivoted the software to challenge the iPhone."
7 pins,How many distinct memory storage pins form the connection edge of a standard SATA hard drive data cable interface?,"The ultra-slim 7-pin design completely replaced the clunky, wide 40-pin IDE ribbon cables that used to block internal airflow inside old desktop PC cases."
2013,"In what year was Docker first released to the open-source community, popularizing lightweight containerization?","Docker allowed developers to package an app with all its dependencies into an isolated container, eliminating the old ""it works on my machine"" excuse."
256 bits,How many bits are utilized to encrypt data under the AES-256 advanced encryption standard?,Breaking a 256-bit AES key via brute-force would take a modern supercomputer longer than the current age of the universe.
2014,"In what year did Google open-source Kubernetes, the automated container orchestration platform?","The internal project was originally named ""Seven of Nine"" by Google engineers, which explains why the official Kubernetes logo features seven sides."
4,How many distinct privilege rings define security boundaries inside modern x86 computer processor architectures?,"The rings scale from Ring 0 (Kernel - highest privilege) down to Ring 3 (User Applications), isolating critical hardware tasks from rogue software crashes."
2014,"In what year did the devastating ""Heartbleed"" security vulnerability get discovered inside the OpenSSL cryptography library?","The bug allowed attackers to read system memory secrets over secure connections, leaking passwords and encryption keys without leaving a trace."
3,How many physical logic units make up a standard single RAID 5 storage array configuration at a minimum?,"RAID 5 stripes data and parity blocks across a minimum of 3 drives, allowing the entire array to survive a catastrophic failure of any single disk without losing data."
2015,In what year did the tech industry publish the official standard specification for JSON Web Tokens (JWTs)?,"JWTs opened up a secure, compact way to pass authentication claims between clients and servers, completely dominating modern web API infrastructures."
32 characters,"How many total characters compose a standard globally unique identifier (GUID / UUID) string, excluding the hyphens?","Formed of 32 hexadecimal digits, the mathematical probability of generating two identical UUIDs by random chance is virtually zero."
2005,"In what year was Git, the decentralized version control tracking software, created by Linus Torvalds?",Torvalds built Git in just a few weeks out of spite after the open-source community lost its free access to a commercial tracking tool called BitKeeper.
80,How many data channels partition a standard modern fiber-optic cable running DWDM high-speed optics waves?,"Dense Wavelength Division Multiplexing splits light down into 80 distinct color spectrum lanes, blasting terabits of data over a single glass line."
2010,In what year did the infamous Stuxnet computer worm get discovered after silently sabotaging nuclear centrifuges?,"Stuxnet utilized four distinct zero-day vulnerabilities, targeting industrial PLC systems while feeding fake ""normal operations"" telemetry logs back to operators."
64 bits,How many bits make up the block encryption size ceiling under the legacy Data Encryption Standard (DES)?,DES was officially replaced by AES because its short 56-bit effective key length became vulnerable to high-speed brute-force cracking rigs.
2006,"In what year did Amazon Web Services (AWS) launch Elastic Compute Cloud (EC2), kickstarting the modern cloud computing revolution?","EC2 allowed developers to rent virtual computing instances on-demand by the hour, eliminating the need to buy physical servers."
4,How many distinct categories of cloud deployment models map out corporate tech infrastructure (like Public and Private)?,"The four standardized deployment models are Public Cloud, Private Cloud, Hybrid Cloud, and Community Cloud."
2012,In what year did the Internet Engineering Task Force (IETF) publish the standard security specification for OAuth 2.0?,"OAuth 2.0 provided a clean framework for token-based authorization, letting apps securely access user data without forcing them to share their passwords."
5,How many distinct levels of data normalization optimize database architecture models to eliminate redundancy (1NF to 5NF)?,"While 5 normalization states exist, the vast majority of enterprise production database architectures stop at 3NF (Third Normal Form) to maximize speed."
2017,In what year did Apple migrate its default file system architecture from old HFS+ over to the modern Apple File System (APFS)?,"APFS was custom-engineered for solid-state storage (SSDs), utilizing strong encryption and metadata cloning to execute instant file duplications."
40 characters,"How many characters long is a standard, fully written SHA-1 cryptographic hash token value?","Written as a 40-character hexadecimal string, SHA-1 was deprecated by security agencies after researchers demonstrated real-world hash collision attacks."
300mm,"What is the standard physical diameter size of a modern enterprise round silicon wafer disc used to print microchips, in millimeters?","The massive 300mm discs are grown as single, flawless crystal cylinders of pure silicon before being sliced thin and printed with billions of transistors."
2005,In what year did tech pioneer Linus Torvalds release the Git 1.0 architecture code to open-source systems?,Git’s decentralized structure allowed thousands of distributed global engineers to branches and merge code lines simultaneously without locking up files.
5,How many distinct security compliance pillars compose the rigid international SOC 2 data protection trust service criteria?,"The 5 core operational trust pillars are Security, Availability, Processing Integrity, Confidentiality, and Privacy."
2011,In what year did the tech industry establish the unified OpenAPI Specification (originally Swagger) for mapping REST APIs?,"OpenAPI standardized how backend developers document endpoint URLs, expected JSON payloads, and response header codes for client web developers."
3,How many individual cache levels are typically built directly into the silicon architecture layout of a modern high-end CPU core?,"L1 cache is the tiniest and fastest, L2 is intermediate, and L3 is a larger, shared memory pool that caches data right next to the processing engine."
2017,"In what year did the massive ""WannaCry"" ransomware cyberattack sweep across global networks, paralyzing hospital computer mainframes?","The ransomware propagated aggressively utilizing a leaked NSA exploit called EternalBlue, targeting unpatched Windows network file ports."
8 bits,How many bits are allocated to track a single channel of color density under a standard 24-bit TrueColor image array?,"Allocating 8 bits each to the Red, Green, and Blue sub-pixels yields 256 density levels per channel, resulting in over 16.7 million possible colors."
2003,"In what year did Google introduce its radical ""Borg"" container management architecture system, the direct ancestor of Kubernetes?","Borg operated secretly behind the scenes for over a decade, managing millions of automated jobs across Google's global server farms."
1,How many key validation steps compose the standard secure cryptographic handshake protocol inside a TLS 1.3 network connection?,"TLS 1.3 slashed the connection setup down to a single round-trip handshake, cutting latency in half compared to older TLS 1.2 architectures."
2013,"In what year did developers unleash the highly efficient, column-oriented Apache Parquet storage file format for big data systems?","Parquet packages data tables by columns rather than rows, allowing enterprise analytics engines to compress files heavily and run lightning-fast analytics."
65535 bytes,How many bytes make up the absolute maximum packet payload size limit for standard loopback network adapters (`localhost`)?,"Because loopback traffic stays entirely inside system RAM and never hits physical Ethernet wires, it can use the absolute maximum theoretical size of an IP packet."
2013,In what year did security researcher Moxie Marlinspike introduce the Signal Protocol for end-to-end encrypted chats?,"The protocol utilizes advanced cryptographic ratchets to rotate keys after every single message, a security standard later adopted by WhatsApp."
3,How many distinct sub-categories of permissions define basic file security access controls inside Linux operating systems?,"The 3 classic operational permissions are Read (4), Write (2), and Execute (1), mapped across the Owner, Group, and Public user tiers."
2016,In what year was the Kubernetes container orchestration project officially graduated into a top-level standalone tech foundation (CNCF)?,"Kubernetes was the very first project accepted by the Cloud Native Computing Foundation, establishing it as the universal standard for tech deployments."
64 bits,How many character bits form the baseline tracking matrix block size for the heavy Blowfish symmetric block cipher?,"Designed by Bruce Schneier in 1993, Blowfish was left completely patent-free in the public domain, making it a favorite for early encryption tools."
2014,"In what year did the tech coalition launch Let's Encrypt, providing free automated SSL/TLS certificates to secure the entire web?","By using an automated protocol called ACME, Let's Encrypt helped push the percentage of encrypted web traffic from 40% up past 90% globally."
140,How many distinct priority queue tiers organize automated task processing loops inside the Linux kernel scheduler?,"The priority values range from 0 to 139, with lower numbers reserved for critical, real-time operating system kernel tasks that must jump ahead of applications."
2018,In what year did Microsoft officially complete its massive $7.5 billion acquisition of the open-source code hosting platform GitHub?,"The buyout initially caused concern among open-source purists, but GitHub expanded significantly under Microsoft, adding free actions and automated tools."
512 bits,How many character bits compose the signature security checksum block inside a standard SHA-512 cryptographic hash string?,A 512-bit binary hash evaluates out to a long 128-character string when displayed in standard hexadecimal text format.
2021,"In what year did security tracking registries catalog the infamous Log4j flaw (Log4Shell), one of the most severe web vulnerabilities ever?",The flaw allowed remote attackers to execute malicious code on millions of enterprise servers simply by passing a weird text string into a basic log file.
40 bytes,How many bytes of data are allocated to build the baseline network header block layout of a standard IPv6 packet?,"Unlike IPv4 headers which fluctuate in size, IPv6 fixes headers at exactly 40 bytes, allowing high-speed routing switches to process packets much faster."
2022,"In what year did deep learning company OpenAI first launch ChatGPT to the public, igniting the modern AI boom?","The conversational AI model pulled in over 1 million active users within its first five days online, making it the fastest-growing consumer web app in tech history."
12288,How many distinct dimensional vector space embedding parameters map word tokens inside a top-tier LLM AI foundation model?,"Advanced AI networks convert human text words into these massive multi-dimensional vectors to mathematically track semantics, intent, and context."
1997,"In what year did researchers at IBM create Deep Blue, the supercomputer that famously defeated world chess champion Garry Kasparov?","Deep Blue was a custom, hardware-accelerated system that could crunch through and evaluate up to 200 million chess table layouts every single second."
9400,How many independent data processing nodes are linked together inside the world's current fastest supercomputer to hit exascale speeds?,The Frontier supercomputer cluster requires specialized liquid-cooling loops and consumes as much electricity as a small town to run climate models.
2022,In what year did the total global internet user population officially pass the historic 5 billion mark?,"Over 60% of all humans on Earth are now actively connected to the internet, driving massive global demands for server space and mobile networks."
550,How many distinct subsea fiber-optic data cables cross the world’s oceans today to link the global internet network?,"These underwater fibers handle over 99% of all international communications traffic, outperforming satellite arrays by a wide margin."
2019,In what year did a team of international astronomers capture and reveal the first ever real photograph of a supermassive Black Hole?,"Captured by the Event Horizon Telescope network, processing the massive petabytes of raw data required sync-shipping hard drives to a central computing cluster."
2019,"In what year did the tech giant Google officially announce it had achieved ""quantum supremacy"" using its 53-qubit Sycamore processor?","Google claimed its quantum chip completed a highly complex calculation in 200 seconds that would take a standard supercomputer 10,000 years to solve."
100 million lines,How many millions of lines of code make up the entire operating system and software stack of a modern luxury electric vehicle?,"This software footprint is multiple times larger than a modern passenger jet, handling everything from battery safety grids to self-driving cameras."
1,How many distinct main companies handle over 80% of the world's advanced microchip printing lithography machinery?,The Dutch company ASML holds an absolute monopoly on the extreme ultraviolet (EUV) lithography machines needed to print cutting-edge sub-nanometer chips.
1976,"In what year did the first commercial high-altitude supersonic passenger jetliner, the Concorde, launch public services?","The Concorde flew at twice the speed of sound, cruising at 60,000 feet where passengers could see the actual curvature of the Earth."
118,How many separate element symbols are officially cataloged inside the standard Periodic Table of chemistry?,"The final four elements (113, 115, 117, and 118) were officially given names and locked onto the table by scientists in late 2016."
1986,In what year did the worst recorded nuclear power plant disaster in history occur at the Chernobyl facility?,The steam explosion released roughly 400 times more radioactive fallout into the atmosphere than the atomic bomb dropped on Hiroshima.
1960,"In what year did the United States launch the very first weather satellite into orbit (TIROS-1), changing forecasting forever?","Operating for just 78 days, it sent back the first television images of Earth’s cloud patterns from space, revolutionizing storm tracking."
24000,How many individual graphics processing units (GPUs) are linked together inside a modern top-tier enterprise AI supercluster?,Linking these massive graphics grids allows tech giants to train complex foundation models in weeks rather than decades.
2005,"In what year did the tech company Google launch its digital map network, Google Maps, changing global navigation?","Built on top of acquired satellite visualization startups, it completely replaced paper street atlases with real-time routing engines."
5,How many distinct structural layers compose the physical atmosphere shielding planet Earth?,"They are the troposphere, stratosphere, mesosphere, thermosphere, and exosphere. Over 75% of all atmospheric gas is packed inside the lowest layer."
2022,In what year did the world's total human population officially cross the historic 8 billion threshold?,"It took all of human history until 1804 to hit our first 1 billion, but it took just 11 years to jump from 7 billion to 8 billion."
2004,"In what year did the catastrophic Indian Ocean earthquake and tsunami occur on Boxing Day, triggering a global response?","The undersea megathrust earthquake registered a terrifying 9.1 magnitude, releasing energy equal to 23,000 Hiroshima atomic bombs."
14,How many distinct sovereign countries share a physical land border with the massive nation of China?,China ties with Russia for the record of bordering the highest number of individual neighbor countries on the map.
120 miles [193 km],"How many miles long is the Suez Canal, the vital maritime shipping lane linking the Mediterranean Sea to the Red Sea?","Opened in 1869, the canal allows massive container ships to completely skip sailing around Africa, saving weeks of cargo transit time."
1867,In what year did the United States purchase the territory of Alaska from the Russian Empire?,"The U.S. paid $7.2 million for the massive landmass, which worked out to a mere two cents per acre for Alaska's vast natural reserves."
11,How many distinct time zones are legally active across the massive country of Russia?,"When a family on the western side of Russia is waking up at 7:00 AM, a family on the eastern side is sitting down to dinner."
1789,In what year did the French Revolution officially begin with the storming of the Bastille prison in Paris?,"At the time of the raid, the notorious medieval fortress prison only held a grand total of seven elderly prisoners."
887,How many distinct stone statues (Moai) are scattered across the landscape of Easter Island?,"While most people only think of them as giant heads, many of the statues have massive bodies buried deep underground."
193,How many independent countries currently hold official full voting seats inside the United Nations?,The two most notable internationally recognized non-member observer states are Vatican City and Palestine.
2560 BC,"In what year did the construction of the Great Pyramid of Giza finish, serving as the tallest structure for millennia?","It stood as the tallest man-made structure in the world for over 3,800 years until the Lincoln Cathedral spire was finished in England."
282 feet [86 m],How many vertical feet does Death Valley sit below sea level at its lowest geographic point?,"Badwater Basin in Death Valley is the lowest point of land elevation in North America, situated just 85 miles from Mount Whitney, the highest peak."
1959,"In what year did an international treaty set aside Antarctica as a peaceful, scientific reserve?","Signed by 12 original countries, the Antarctic Treaty strictly bans all military activity, nuclear tests, and mineral mining on the icy continent."
2 Billion,How many thousands of lines of code make up the entire digital architecture running Google's global web services?,"All of Google's primary services (Search, Maps, Gmail, etc.) sit in a single massive code repository shared by tens of thousands of engineers."
1896,"In what year did the first modern Olympic Games take place in Athens, Greece, reviving ancient history?","Only 14 nations participated, and the winners were awarded silver medals and olive branches instead of gold."
"47,000 years",How many thousands of years would it take a standard modern desktop computer to solve a matrix calculation completed by a quantum computer in 4 minutes?,Quantum computing processors utilize the mind-bending principles of superposition and entanglement to solve massive computational matrices almost instantly.
35 years,How many months did it take NASA's Voyager 1 spacecraft to reach interstellar space after its launch?,"Launched in 1977, it officially crossed the heliopause—the boundary where the sun's solar wind meets the interstellar medium—in August 2012."
2,How many operational robotic rovers are currently active on the surface of Mars as of 2026?,"NASA's *Curiosity* (landed 2012) and *Perseverance* (landed 2021) continue to drive across the Martian terrain, while China's Zhurong is currently inactive."
"25,020 mph [40,266 km/h]","What is the escape velocity needed to completely break free of Earth's gravity, in miles per hour?","This translates to roughly 7 miles per second, meaning any spacecraft leaving Earth for the Moon or Mars must achieve this incredible speed."
27,How many individual main engines ignite simultaneously on the first-stage booster of a SpaceX Falcon Heavy rocket?,"The rocket straps three Falcon 9 cores together, requiring 27 Merlin engines to synchronize perfectly at liftoff to unleash over 5 million pounds of thrust."
1852,"In what year did astronomers discover 16 Psyche, the famous metallic asteroid estimated to hold quadrillions of dollars in raw iron and nickel?","Discovered by Italian astronomer Annibale de Gasparis, NASA launched a dedicated spacecraft to study this metal world, which arrived in orbit recently."
4,"How many planets in our solar system possess a visible, ring system circling their atmosphere?","While Saturn's rings are the most famous and brilliant, Jupiter, Uranus, and Neptune also feature faint, dark rings made of dust and rock fragments."
2014,In what year did the European Space Agency's Rosetta mission successfully land a probe on the surface of a moving comet?,"The *Philae* lander bounced twice on the surface of Comet 67P before settling in the shadow of a cliff, sending back data for days before its batteries died."
100 thousand light-years,"How many thousands of light-years wide is our home galaxy, the Milky Way?","If you could travel at the speed of light (186,000 miles per second), it would still take you 100,000 years to fly from one edge of our galaxy to the other."
1970,"In what year did the historic Apollo 13 mission experience an oxygen tank explosion, forcing an emergency loop around the Moon?","The crew survived by utilizing the Lunar Module as a temporary lifeboat, managing cold temperatures and rising carbon dioxide levels to return safely."
95,How many distinct moons are currently confirmed to be orbiting the gas giant Jupiter?,"Jupiter and Saturn are locked in a continuous ""moon race"" as advanced ground telescopes locate smaller, irregular satellites trapped in their gravitational nets."
2021,"In what year was the James Webb Space Telescope (JWST) successfully launched into space, clearing a path to view the early universe?","Orbiting a million miles away from Earth at the L2 Lagrange point, its tennis-court-sized sunshield keeps its infrared mirrors chilled near absolute zero."
15 minutes,How many minutes long was the historic first American human spaceflight executed by Alan Shepard in 1961?,"Unlike Yuri Gagarin's full orbital flight, Shepard’s *Freedom 7* mission was a suborbital arc, reaching an altitude of 116 miles before splashing down in the Atlantic."
800°F [426.7°C],"What is the surface temperature of the planet Mercury on its sun-facing side, in degrees Fahrenheit?","Because Mercury lacks an atmosphere to trap heat, its night side drops to a blistering -290°F, creating the most extreme temperature swing in the solar system."
248 years,How many years does it take the dwarf planet Pluto to complete one single orbit around the Sun?,"Since its discovery in 1930, Pluto has not yet completed a single full orbit around the sun, and won't do so until the year 2178."
2015,"In what year did NASA's New Horizons spacecraft execute its historic close flyby of Pluto, capturing high-definition images of its heart-shaped plain?","The spacecraft traveled for over 9 full years to reach Pluto, zooming past the dwarf planet at over 30,000 mph before continuing into the Kuiper Belt."
"1,400 miles [2,253 km]",How many miles wide is the largest known impact crater in our solar system (the Hellas Planitia basin on Mars)?,"The massive crater was carved by a giant asteroid impact billions of years ago, dropping down nearly 5 miles deep—deep enough to hold Mount Everest."
1972,In what year did the Pioneer 10 spacecraft become the first man-made object to fly through the solar system's asteroid belt safely?,"Before Pioneer 10, scientists feared the asteroid belt was a dense wall of rocks that would instantly shred any spacecraft trying to cross it."
"17,500 mph [28,164 km/h]",How many thousands of miles per hour does the International Space Station cruise at to maintain its low Earth orbit?,"Traveling at 5 miles per second, the ISS circles the globe once every 90 minutes, exposing the onboard crew to 16 sunrises and sunsets every single day."
2017,"In what year did astronomers detect the first confirmed interstellar object, 'Oumuamua, crossing through our solar system?","Moving too fast to be trapped by the sun's gravity, the highly elongated, cigar-shaped object swept through our system and is currently hurtling back out into deep space."
2,How many main cargo bay bay doors zip closed to seal the payload deck of a NASA Space Shuttle orbiter?,"The doors run the entire length of the 60-foot cargo bay, lined with large radiators that open up in space to dump structural electronics heat into the void."
1958,In what year did the United States officially establish NASA (National Aeronautics and Space Administration) under President Eisenhower?,"Created in direct response to the Soviet Union launching the Sputnik satellite, NASA absorbed older NACA labs to accelerate the Space Race."
27.3 days,How many days does it take for the Moon to complete one full rotation on its axis?,"Because the Moon takes the exact same time to rotate on its axis as it does to orbit the Earth, it is tidally locked, meaning we only ever see one side of it from the ground."
4.6 billion years,"What is the estimated age of our home star, the Sun, in billions of years?","The Sun is currently halfway through its lifecycle, fusing roughly 600 million tons of hydrogen into helium every second inside its core."
3,"How many distinct stars compose our nearest neighboring stellar system, Alpha Centauri?","The system is a trio: Alpha Centauri A and B form a bright binary pair, while a tiny red dwarf star named Proxima Centauri floats slightly closer to Earth."
1979,"In what year did the Skylab space station, America's first experimental space home, crash back to Earth after its orbit decayed?","Debris rained down over the Australian outback, prompting a local shire to jokingly issue NASA a $400 fine for littering, which was paid decades later by a radio host."
2,How many solid rocket boosters (SRBs) provide the initial liftoff thrust for NASA’s modern Space Launch System (SLS) Artemis rocket?,"The five-segment boosters are modified versions of the ones used for the Space Shuttle, generating over 75% of the total thrust at liftoff."
2022,"In what year did the Event Horizon Telescope capture the first ever real photograph of Sagittarius A*, the black hole at the center of our galaxy?","While it sits 26,000 light-years away, mapping its silhouette required linking radio dishes across the globe to turn the planet into one giant telescope."
190 thousand pounds,How many thousands of pounds of thrust are generated by a single SpaceX Merlin 1D rocket engine at sea level?,"Driven by liquid oxygen and rocket-grade kerosene (RP-1), the Merlin has the highest thrust-to-weight ratio of any rocket engine ever manufactured."
1962,"In what year did the Mariner 2 spacecraft execute the world's first successful planetary flyby, zooming past Venus?","The probe confirmed that Venus was a blistering, greenhouse-cooked desert, ending decades of sci-fi speculation that the planet held tropical swamps."
4,How many separate flight computers run in parallel configuration to safely operate the automated systems of the Orion spacecraft?,"The computers run identical calculations at the same time; if a radiation strike corrupts one memory block, the other three instantly outvote it to maintain flight control."
2018,In what year did NASA's Opportunity Mars rover finally fall silent after a massive planet-wide dust storm blacked out its solar panels?,"Designed to last for a modest 90 days, the rugged solar-powered rover survived for over 14 years, driving 28 miles across the red desert."
18,How many individual main segments make up the gold-plated primary mirror tracking configuration of the James Webb Space Telescope?,"The 18 hexagonal segments are crafted out of lightweight beryllium, folded up inside a rocket nosecone and unfurled in space like origami."
1977,In what year did the legendary astrophysicist Carl Sagan release the historic Golden Record on board both Voyager spacecraft?,"The copper discs contain sounds of nature, greetings in 55 languages, and musical tracks from Bach to Chuck Berry, built to survive for billions of years."
243 days,How many Earth days does it take for the planet Venus to complete one single rotation on its axis?,"Venus spins so incredibly slowly that its day is longer than its year, taking only 225 Earth days to complete a full orbit around the Sun."
1998,In what year was the first module of the International Space Station (Zarya) launched into orbit by a Russian Proton rocket?,"The launch kicked off a massive multi-nation assembly project in space, establishing a continuous human presence in orbit that hasn't broken since the year 2000."
"22,236 miles [35,785 km]",How many miles out from Earth's equator sits the sweet spot orbit line designated for geostationary satellites?,"At this exact altitude, a satellite's speed matches Earth's rotation perfectly, making it appear completely stationary over one spot on the map."
2009,"In what year did the Kepler Space Telescope launch, kickstarting a mission that located thousands of exoplanets?","Kepler stared continuously at a single patch of sky for years, watching for tiny dips in star brightness caused by orbiting planets crossing their faces."
"5,000 metric tons",How many thousands of tons does the massive Starship rocket stack weigh when fully loaded with liquid methane fuel at launch?,Over 90% of the rocket's massive weight at launch consists purely of liquid fuel needed to punch through Earth's gravity grid.
2015,In what year did scientists confirm the first ever direct detection of Gravitational Waves using the advanced LIGO laser arrays?,"The subtle ripples in space-time were generated by two massive black holes colliding 1.3 billion years ago, altering the laser lanes by a fraction of an atom's width."
108 minutes,"How many minutes long was the shortest manned spaceflight in history, executed by Yuri Gagarin in 1941 (Correction: 1961)?","Gagarin completed exactly one full orbit around Earth inside his Vostok 1 capsule, ejecting at 23,000 feet to parachute safely back onto Russian soil."
1914,"In what year did the construction of the famous Panama Canal finish, radically altering global shipping routes?",Excavators dug out enough earth during the grueling project to completely bury the entire island of Manhattan under a mountain of dirt over 12 feet deep.
12,How many distinct locks are built along the entire length of the modern Panama Canal elevator network?,"The massive concrete chambers act as water elevators, lifting ships up 85 feet to match the inland lake level before lowering them back down to sea level."
726 feet [221 m],"What is the height of the grand Hoover Dam built across the Colorado River, measured in feet?",The massive concrete structure used enough material to pave a standard two-lane highway all the way from San Francisco to New York City.
"19,000 miles [30,578 km]",How many thousands of miles long is the entire connected highway network known as the Pan-American Highway?,"It links nearly all mainland nations of the Americas in a connected grid, interrupted only by a dense 60-mile stretch of jungle swamp called the Darién Gap."
1994,In what year did the construction of the structural marvel known as the Eurotunnel (Chunnel) wrap up beneath the English Channel?,"The project required giant boring machines to chew through chalk marl from both sides, meeting in the middle with pinpoint alignment accuracy."
"27,572",How many separate cable strands are bundled tightly together to form each main suspension cable of the Golden Gate Bridge?,"The wires were spun back and forth across the ocean gap using specialized traveling wheels, creating a cable that measures over 3 feet in diameter."
"1,125 feet [343 m]","What is the official height of the iconic structural marvel, the Millau Viaduct in France, the tallest bridge in the world, in feet?","Designed by engineer Michel Virlogeux, the soaring cable-stayed bridge stands taller than the Eiffel Tower, frequently positioning drivers above the clouds."
"1,500 thousand",How many thousands of workers were packed into construction crews to dig the vast network of canals for the Suez Canal?,"Opened in 1869, the vast majority of early excavation was completed manually using basic shovels and baskets, before heavy steam dredges arrived."
2012,In what year did the Three Gorges Dam in China—the world's largest hydroelectric power station—become fully operational?,The dam is so colossally massive that the weight of the 10 trillion gallons of water trapped in its reservoir actually slowed Earth’s rotation by an estimated 0.06 microseconds.
14,How many structural spillway gates line the concrete wall layout of the massive Itaipu Dam on the border of Brazil and Paraguay?,"The massive gates can discharge up to 62,000 cubic meters of rushing water per second, a flow rate equal to 40 times the power of Niagara Falls."
1998,"In what year did the historic Akashi Kaikyo Bridge in Japan open, holding the title of the longest suspension bridge span?","A powerful 7.2 magnitude earthquake struck mid-construction in 1995, shifting the bridge towers apart and forcing engineers to expand the main span by an extra 3 feet."
"9,500","How many massive concrete columns support the weight of Lake Pontchartrain Causeway, the world's longest continuous bridge over water?","Spanning 24 miles across a lake in Louisiana, the twin bridges utilize these thousands of pilings to support over 30,000 vehicles daily."
23 miles [37 km],"What is the total length of the magnificent underwater section of the Eurostar train path beneath the English Channel, in miles?","While the entire tunnel tracks 31 miles from end to end, 23 miles of the railway run completely beneath the ocean floor, making it the longest undersea tunnel on earth."
1976,"In what year did the construction of the architectural icon, the CN Tower in Toronto, officially finish?","Sticking skyward at 1,815 feet, it held the title of the world's tallest freestanding structure for over three decades until the Burj Khalifa bypassed it."
106 million cubic meters,How many millions of cubic meters of rock and concrete were packed to construct the structural core wall of the Tarbela Dam in Pakistan?,"Standing as the largest earth-and-rock-filled dam structure on earth, it harnesses the Indus River to irrigate massive agricultural tracts."
8,How many separate horizontal traffic lanes cross the massive upper deck layout of the George Washington Bridge in New York?,"Combined with the lower deck's 6 lanes, the bridge features a total of 14 traffic lanes, making it the busiest motor vehicle bridge anywhere in the world."
1913,In what year did construction crews finish building the historic transcontinental highway system known as the Lincoln Highway across the US?,"The highway was America's first coast-to-coast paved road corridor, linking New York City directly to San Francisco across 3,389 miles."
28 thousand,How many thousands of structural steel triangles form the lattice framework of the Sydney Harbour Bridge?,"Known among locals as ""The Coathanger,"" the massive steel arch expands by up to 7 inches in blazing summer heat, requiring massive internal joints to shift."
2016,"In what year did the Gotthard Base Tunnel in Switzerland officially open, cutting a rail line straight through the Alps?","Measuring 35 miles long and buried up to 1.4 miles deep beneath solid alpine rock, it stands as the longest and deepest railway tunnel on the planet."
4,How many massive water pumps work in tandem inside the Venice MOSE barrier system to empty the flood gates during high tides?,"The floating barriers use compressed air to expel seawater from inside the hollow gates, forcing the massive panels to rise up and block incoming Adriatic storm surges."
1937,"In what year did the iconic Golden Gate Bridge celebrate its grand public opening day, letting thousands walk across?","Over 200,000 citizens swarmed the bridge on opening day, celebrating with custom flat-heeled shoes and walking stick parades across the span."
11,How many distinct structural piers support the spans of the massive Lake Champlain Bridge network?,"The engineered piers are driven deep into the lakebed, designed to withstand ice jams and shifting currents during freezing northern winters."
"5,223 feet [1,592 m]","What is the total length of the world-famous Grand Coulee Dam built across the Columbia River, in feet?","Spanning nearly a mile long, it is the largest concrete structure ever built in North America, holding enough material to wrap a concrete ring completely around the equator."
